"September 19, 2024","September 25, 2024",,,,,,,6,,,,5,7,,,,,,,,,18,September 2024,90,38
"September 26, 2024","October 2, 2024",,,,,,,7,2,3,,4,4,,,,,,,,4,24,September 2024,90,39
"October 3, 2024","October 9, 2024",,,,,,,7,,7,,,,,,,,,3,,7,24,October 2024,79,40
"October 10, 2024","October 16, 2024",,,,,,,,,7,,,,,,,,,7,,7,21,October 2024,79,41
"October 17, 2024","October 23, 2024",,,,,,,,,7,,,,,,,,,7,,7,21,October 2024,79,42
"October 24, 2024","October 30, 2024",,,,1,,,,,6,,,,,,,,,4,,2,13,October 2024,79,43
"October 31, 2024","November 6, 2024",,,,5,,,,,3,,,,,,,,,6,7,3,24,November 2024,84,44
"November 7, 2024","November 13, 2024",,,,5,,,,,,,,,,,,,,6,7,,18,November 2024,84,45
"November 14, 2024","November 20, 2024",,,,4,,,,,,,,,,,,,,7,7,,18,November 2024,84,46
"November 21, 2024","November 27, 2024",,,,5,,,,,,,,5,,,,,,7,7,,24,November 2024,84,47
"November 28, 2024","December 4, 2024",,,,4,,,3,,,,2,7,,3,,,,5,7,,31,December 2024,121,48
"December 5, 2024","December 11, 2024",,,,4,,,7,,,,5,7,,6,,,,,7,,36,December 2024,121,49
"December 12, 2024","December 18, 2024",,,,4,,,7,,,,6,2,,2,,,,,,,21,December 2024,121,50
"December 19, 2024","December 25, 2024",,,,1,,,7,,,,2,5,,,,,,,,,15,December 2024,121,51
"December 26, 2024","January 1, 2025",,,,,,,7,,,,4,5,,1,,1,,,,,18,December 2024,121,52
